opp_puntyds_punt,opp_conv3rddownatt_conv,int_ret_yds_td,opp_offydsperplay,fd_rush_pass_pen,fumbles_num_lost,opp_passyds,opp_intret_yds_td,opp_redzoneatt_scores,fgsuccesspercent,opp_kickoffretyds_ret,opp_puntpunts_yds,rush_att_yds_td,att_made_2ptconv,offenseydsperplay,pat_att_made,opp_ppg,opp_kickoffret_ret_yds_td,redzonesuccesspercent,opp_fgatt_made,fg_att_made,opp_rushatt_yds_td,successpercent2ptconv,convpercent4thdown,pen_num_yds,pass_att_comp_int_td,opp_passrating,rushing,opp_redzonesuccesspercent,convpercent3rddown,opp_offplays_yds,opp_rushyds_att,pass_rating,opp_conv2ptatt_made,timeofpossessionpergame,games_pts,firstdowns,opp_conv4thdownpercent,opp_pennum_yds,patsuccesspercent,opp_patatt_made,yardsperpuntreturn,opp_conv4thdownatt_conv,opp_firstdowns_total,opp_pryds_ret,opp_firstdowns_rush_pass_pen,opp_timeofposs_game,pass_yds,redzone_att_scores,opp_prret_yds_td,ppg,off_plays_yds,opp_conv3rddownpercent,opp_conv2ptsuccesspercent,att_conv_4thdown,punts_yds,team,opp_patsuccesspercent,opp_passatt_comp_int_td,opp_fgsuccesspercent,opp_games_pts,att_conv_3rddown,opp_fumblesnum_lost,pageUrl
39.63,174 - 63,13 - 244 - 1,5.18,93 - 142 - 25,20 - 12,2670,14 - 160 - 0,41 - 31,72.20%,19.26,67 - 2655,363 - 1484 - 18,0 - 0,5.03,33 - 32,23.1,43 - 828 - 0,68.09%,18 - 13,18 - 13,457 - 1783 - 14,-,33.33%,101 - 870,528 - 284 - 14 - 14,121.71,4.09,75.61%,34.08%,859 - 4453,3.9,104.88,Apr-00,29:05.9,12 - 271,260,41.18%,95 - 849,97%,31 - 28,3.75,17 - 7,255,7.24,100 - 124 - 31,30:54.1,2995,47 - 32,17 - 123 - 0,22.6,891 - 4479,36.21%,0%,21 - 7,67 - 2806,Akron,90.30%,402 - 225 - 13 - 20,72.20%,12 - 277,179 - 61,22 - 11,http://www.cfbstats.com/2014/team/5
43.07,218 - 82,11 - 84 - 0,4.87,154 - 170 - 16,18 - 12,3164,10 - 124 - 1,44 - 37,63.60%,21.52,88 - 3790,567 - 2893 - 35,1-Mar,6.66,65 - 63,18.4,60 - 1291 - 1,85.94%,25 - 23,22 - 14,452 - 1434 - 5,33.33%,76.92%,69 - 562,451 - 290 - 10 - 32,116.53,5.1,84.09%,51.26%,945 - 4598,3.17,155.73,2-Feb,31:44.5,14 - 517,340,38.89%,61 - 516,96.90%,25 - 23,9.36,18 - 7,234,6.92,81 - 141 - 12,27:40.6,3890,64 - 55,12 - 83 - 0,36.9,1018 - 6783,37.61%,100%,13 - 10,55 - 2640,Alabama,92%,493 - 268 - 11 - 19,92%,14 - 258,199 - 102,20 - 9,http://www.cfbstats.com/2014/team/8
39.68,179 - 64,9 - 99 - 2,5.68,150 - 102 - 13,13 - 9,2772,12 - 287 - 4,41 - 33,76.50%,25.06,76 - 3016,613 - 2545 - 27,Apr-00,5.51,48 - 47,29.9,36 - 902 - 1,74.51%,15 - 8,17 - 13,474 - 2101 - 18,0%,42.86%,77 - 674,328 - 203 - 12 - 17,129.71,4.15,80.49%,43.01%,858 - 4873,4.43,139.21,May-00,30:33.3,12 - 398,265,50%,64 - 552,97.90%,44 - 41,9.53,20 - 10,245,8.22,113 - 113 - 19,29:26.7,2637,51 - 38,23 - 189 - 1,33.2,941 - 5182,35.75%,0%,28 - 12,61 - 2601,UAB,93.20%,384 - 204 - 9 - 24,53.30%,12 - 359,193 - 83,16 - 10,http://www.cfbstats.com/2014/team/9
38.61,164 - 56,12 - 97 - 1,5.31,137 - 114 - 32,17 - 10,2342,11 - 61 - 0,47 - 40,53.30%,23.24,56 - 2162,537 - 2901 - 33,1-Jan,6.31,57 - 52,27.3,45 - 1046 - 1,75%,21 - 14,15 - 8,430 - 1828 - 21,100%,60.87%,88 - 755,340 - 205 - 11 - 21,123.27,5.4,85.11%,48.84%,786 - 4170,4.25,139.35,Apr-00,31:20.0,12 - 428,283,57.14%,80 - 837,91.20%,38 - 34,5.42,21 - 12,213,13.74,94 - 100 - 19,28:39.5,2637,60 - 45,19 - 261 - 2,35.7,877 - 5538,34.15%,0%,23 - 14,45 - 1707,Appalachian State,89.50%,356 - 210 - 12 - 17,66.70%,12 - 328,172 - 84,17 - 7,http://www.cfbstats.com/2014/team/27
39.68,209 - 79,14 - 276 - 3,5.62,110 - 166 - 25,15 - 4,3376,9 - 243 - 3,46 - 35,82.10%,23.27,75 - 2976,508 - 2194 - 20,2-Mar,5.9,55 - 53,27.9,55 - 1280 - 1,90.63%,15 - 13,28 - 23,511 - 2046 - 17,66.67%,43.48%,58 - 421,467 - 281 - 9 - 34,131.84,4.32,76.09%,38.19%,964 - 5422,4,144.32,0 - 0,28:42.4,13 - 480,301,50%,91 - 796,96.40%,46 - 46,3.67,28 - 14,261,13.07,100 - 146 - 15,31:17.6,3556,64 - 58,15 - 196 - 2,36.9,975 - 5750,37.80%,-,23 - 10,67 - 2774,Arizona State,100%,453 - 269 - 14 - 22,86.70%,13 - 363,199 - 76,22 - 13,http://www.cfbstats.com/2014/team/28
42.33,232 - 94,13 - 138 - 1,5.66,128 - 176 - 42,14 - 8,3937,10 - 99 - 1,53 - 47,71.40%,18.49,85 - 3598,575 - 2546 - 26,Feb-00,5.7,57 - 57,28.2,41 - 758 - 0,80%,24 - 17,28 - 20,581 - 2377 - 19,0%,61.54%,92 - 881,564 - 320 - 10 - 29,139.72,4.43,88.68%,38.03%,1115 - 6314,4.09,128.92,1-Jan,27:13.8,14 - 483,346,38.89%,124 - 1086,100%,48 - 46,10.24,18 - 7,337,8.38,120 - 188 - 29,32:46.2,3945,60 - 48,32 - 268 - 0,34.5,1139 - 6491,40.52%,100%,26 - 16,80 - 3651,Arizona,95.80%,534 - 349 - 13 - 28,70.80%,14 - 395,234 - 89,31 - 13,http://www.cfbstats.com/2014/team/29
41.64,198 - 71,16 - 266 - 3,5.62,145 - 139 - 20,22 - 14,2808,8 - 79 - 0,44 - 35,61.10%,16.31,81 - 3373,576 - 2813 - 35,1-May,6.05,60 - 52,30.5,42 - 685 - 0,81.03%,13 - 7,18 - 11,565 - 2668 - 34,20%,50%,104 - 905,448 - 276 - 8 - 25,122.27,4.88,79.55%,37.68%,975 - 5476,4.72,139.84,0 - 0,28:51.2,13 - 477,304,43.48%,91 - 793,86.70%,54 - 51,7.14,23 - 10,279,3.1,146 - 108 - 25,31:08.9,3381,58 - 47,10/31/2000,36.7,1024 - 6194,35.86%,-,36 - 18,67 - 2819,Arkansas State,94.40%,410 - 238 - 16 - 18,53.80%,13 - 396,207 - 78,23 - 12,http://www.cfbstats.com/2014/team/30
42.82,182 - 72,12 - 241 - 1,5.12,146 - 120 - 22,25 - 11,2714,6 - 91 - 1,33 - 23,64.30%,23.84,66 - 2826,557 - 2834 - 31,Feb-00,5.76,54 - 52,19.2,50 - 1192 - 1,78.57%,13 - 6,14 - 9,429 - 1490 - 11,0%,63.16%,68 - 581,359 - 199 - 6 - 21,123.39,5.09,69.70%,46.81%,821 - 4204,3.47,128.59,1-Jan,34:02.8,13 - 415,288,22.22%,77 - 638,96.30%,32 - 32,9.36,18 - 4,225,3.06,97 - 115 - 13,25:57.1,2444,56 - 44,16 - 49 - 0,31.9,916 - 5278,39.56%,100%,19 - 12,59 - 2363,Arkansas,100%,392 - 217 - 12 - 19,46.20%,13 - 250,188 - 88,22 - 12,http://www.cfbstats.com/2014/team/31
41.14,179 - 64,22 - 130 - 1,5.67,172 - 132 - 10,18 - 13,2991,7 - 95 - 0,54 - 40,75%,21.79,59 - 2427,607 - 3321 - 32,1-Jan,6.71,57 - 57,26.7,33 - 719 - 0,87.93%,18 - 11,24 - 18,493 - 2194 - 22,100%,42.86%,92 - 896,332 - 208 - 7 - 23,124.2,5.47,74.07%,52.51%,914 - 5185,4.45,156.79,1-Feb,29:52.7,13 - 461,314,60%,57 - 467,100%,43 - 42,17.82,25 - 15,287,7.79,119 - 131 - 37,30:07.3,2984,58 - 51,19 - 148 - 0,35.5,939 - 6305,35.75%,50%,3-Jul,52 - 2115,Auburn,97.70%,421 - 243 - 22 - 22,61.10%,13 - 347,179 - 94,22 - 5,http://www.cfbstats.com/2014/team/37
40.63,184 - 80,10 - 177 - 0,5.87,92 - 129 - 23,15 - 8,2853,7/31/2001,55 - 41,83.30%,23.07,57 - 2316,448 - 1841 - 16,Jan-00,5.17,36 - 35,27.2,41 - 946 - 1,89.13%,17 - 11,30 - 25,475 - 2293 - 24,0%,84.62%,50 - 489,409 - 232 - 7 - 19,129.95,4.11,74.55%,38.17%,877 - 5146,4.83,121.83,1-Feb,29:52.9,12 - 332,244,50%,67 - 588,97.20%,40 - 39,6.67,22 - 11,265,8.14,121 - 128 - 16,30:06.1,2590,46 - 41,14 - 114 - 0,27.7,857 - 4431,43.48%,50%,13 - 11,65 - 2708,Ball State,97.50%,402 - 250 - 10 - 16,64.70%,12 - 326,186 - 71,23 - 14,http://www.cfbstats.com/2014/team/47
